rank,front,lemma_undiac,pos,root,english_gloss,frequency,surface_types,top_surfaces
1316,عاجِل,عاجل,noun,ع ج ل,urgent;speedy+[indef.gen.],1045812,5,عاجل:507667 | عاجلة:188337 | العاجلة:148599 | العاجل:134535 | عاجلا:66674
1317,مُقارَنَة,مقارنة,noun,ق ر ن,comparison+[fem.sg.],1045230,4,مقارنة:791879 | بالمقارنة:110544 | المقارنة:104829 | ومقارنة:37978
1318,شَمْس,شمس,noun,ش م س,the+sun+[def.gen.],1042987,3,الشمس:968793 | للشمس:38674 | والشمس:35520
1319,تَرْفِيه,ترفيه,noun,ر ف ه,the+entertainment;recreation;amusement,1042505,5,الترفيه:647561 | والترفيه:280662 | للترفيه:47210 | الترفية:39204 | والترفية:27868
1320,مَعْنِيّ,معني,adj,,the+concerned;affected;interested+[fem.sg.],1041296,7,المعنية:585302 | المعنيين:190473 | المعني:128758 | معنية:68944 | معنيين:26211 | المعنيون:21444
1321,نَدْوَة,ندوة,noun,,seminar;symposium+[fem.sg.],1037339,6,ندوة:546384 | الندوة:277923 | الندوات:75972 | ندوات:63537 | والندوات:45679 | وندوات:27844
1322,عَقارِيّ,عقاري,adj,ع ق ر,the+mortgage;real estate+[fem.sg.],1036632,6,العقارية:422791 | العقاري:396511 | عقارية:78167 | عقاري:66456 | العقارى:54175 | العقاريين:18532
1323,تَراجُع,تراجع,noun,ر ج ع,retreat;backing down;retraction+[def.gen.],1031952,8,تراجع:644641 | التراجع:184605 | تراجعا:79764 | بتراجع:38935 | بالتراجع:25931 | للتراجع:21037
1324,سِينَما,سينما,noun,,the+cinema,1031580,4,السينما:556393 | سينما:282461 | والسينما:120924 | للسينما:71802
1325,حَرارَة,حرارة,noun,ح ر ر,the+temperature;heat;fever+[fem.sg.],1031313,7,الحرارة:625954 | حرارة:276789 | للحرارة:36482 | بحرارة:29873 | بالحرارة:23175 | والحرارة:22666
1326,قارِئ,قارئ,noun,,the+reader+[def.acc.],1029609,8,القارئ:380020 | القراء:359211 | قارئ:90192 | قراء:78747 | للقارئ:53791 | والقراء:31148
1327,مُنْشَأَة,منشأة,noun,,the+establishments;firms+[fem.pl.],1028936,8,المنشآت:545010 | المنشأة:194808 | منشأة:86682 | منشآت:82906 | والمنشآت:50422 | للمنشآت:35137
1328,خاصَّة,خاصة,noun,خ ص ص,and+elite+[fem.sg.],1028049,3,وخاصة:801788 | وبخاصة:179874 | بخاصة:46387
1329,تَخَصُّصِيّ,تخصصي,adj,خ ص ص,the+specialized,1027841,2,التخصصي:972250 | التخصصية:55591
1330,داعِي,داعي,noun,,inviter;propagandist+[acc.indef.],1027263,15,داعيا:251820 | الداعية:159931 | داعي:110880 | دعاة:82627 | داعية:80708 | الدعاة:70247
1331,أَكادِيمِيّ,أكاديمي,adj,,the+academic;scholarly+[fem.sg.],1027201,11,الأكاديمية:361588 | الاكاديمية:166741 | الأكاديمي:138353 | اكاديمية:89402 | اكاديمي:70948 | أكاديمي:62053
1332,يابانِيّ,ياباني,adj,,the+Japanese+[fem.sg.],1024992,6,اليابانية:437233 | الياباني:331758 | ياباني:143371 | يابانية:54040 | اليابانيين:30515 | اليابانى:28075
1333,مُنَوَّع,منوع,adj,,diverse;mixed+its;his,1024388,8,منوعة:453957 | المنوعة:248991 | منوعه:106752 | المنوعه:81284 | منوع:49457 | المنوع:47669
1334,حَدِيقَة,حديقة,noun,ح د ق,garden+[fem.sg.],1024331,9,حديقة:363469 | حدائق:213860 | الحديقة:159800 | الحدائق:147115 | والحدائق:51253 | والحديقة:28576
1335,ثابِت,ثابت,adj,ث ب ت,established;proven;permanent+[indef.nom.],1023844,6,ثابت:307531 | الثابتة:261070 | ثابتة:208664 | الثابت:151699 | ثابتا:47512 | والثابته:47368
1336,عُضْوِيَّة,عضوية,noun,,the+membership;affiliation+[fem.sg.],1023543,11,العضوية:383205 | عضوية:292121 | لعضوية:67986 | وعضوية:60261 | عضويته:49817 | بعضوية:36613
1337,رَحِم,رحم,verb,ر ح م,have mercy with+he;it <verb> it;him,1019236,8,رحمه:733954 | أرحم:66745 | يرحمه:63003 | يرحم:42796 | ارحم:38336 | رحمهم:33152
1338,تُهْمَة,تهمة,noun,ت ه م,by;with+accusation;charge+[fem.sg.],1018959,7,بتهمة:370969 | تهم:226393 | تهمة:145394 | التهم:119939 | التهمة:65117 | بتهم:51081
1339,عَدْل,عدل,noun,ع د ل,the+justice;fairness+[def.gen.],1018660,7,العدل:799106 | والعدل:94354 | بالعدل:36292 | عدلي:26202 | عدلا:25694 | للعدل:20252
1340,تَقْنِيَّة,تقنية,noun,ت ق ن,technique;technology+[fem.pl.],1017757,5,تقنيات:436007 | التقنيات:348446 | وتقنيات:108259 | والتقنيات:107370 | بتقنيات:17675
1341,هُوِيَّة,هوية,noun,,the+identity card;identity+[fem.sg.],1016899,12,الهوية:351039 | هوية:318389 | هويته:102396 | هويتها:40606 | الهويات:31961 | والهوية:31525
1342,تَصْنِيف,تصنيف,noun,ص ن ف,classification;sorting;compilation+[def.gen.],1016502,8,تصنيف:435132 | التصنيف:257315 | التصنيفات:144970 | تصانيف:55310 | تصنيفات:53084 | تصنيفها:29873
1343,مَطْلَب,مطلب,noun,ط ل ب,demands;desiderata+[def.acc.],1016259,13,مطالب:292278 | المطالب:187564 | المطلب:136451 | مطلب:108320 | مطالبهم:72172 | لمطالب:53202
1344,مَحْدُود,محدود,adj,ح د د,limited;determined+[fem.sg.],1015839,6,محدودة:412071 | المحدودة:310819 | محدود:164829 | المحدود:69423 | محدودا:38758 | محدودى:19939
1345,تَمَيَّز,تميز,verb,,it;they;she+discern;distinguish,1015379,8,تتميز:387757 | يتميز:279710 | تميزت:121161 | وتتميز:84704 | ويتميز:78053 | تميزا:27473
1346,فَضَّل,فضل,verb,ف ض ل,he;it+prefer,1014660,11,يفضل:203356 | تفضل:162080 | فتفضل:155514 | وأفضل:155104 | لأفضل:112337 | يفضلون:66468
1347,صارُوخ,صاروخ,noun,ص ر خ,the+missiles;rockets+[def.gen.],1014014,11,الصواريخ:285563 | صواريخ:244520 | صاروخ:160622 | الصاروخ:83090 | صاروخا:66064 | بالصواريخ:38523
1348,بَشَرَة,بشرة,noun,ب ش ر,the+epidermis+[fem.sg.],1012161,8,البشرة:399135 | بالبشرة:352867 | للبشرة:59699 | بالبشره:54524 | والبشرة:51946 | البشرى:50239
1349,وَزْن,وزن,noun,,the+weight;weighing+[def.gen.],1008238,8,الوزن:573711 | وزن:222151 | وزنه:54453 | وزنها:54344 | وزنا:33437 | وزنك:28329
1350,عِطْر,عطر,noun,ع ط ر,perfume+[def.gen.],1006568,9,عطر:366099 | العطور:196964 | عطور:116112 | عطورات:112460 | والعطور:80492 | العطر:75428
1351,فَضاء,فضاء,noun,,the+space;cosmos+[def.gen.],1005881,6,الفضاء:529215 | فضاء:317812 | والفضاء:73487 | فضاءات:44880 | للفضاء:21157 | الفضاءات:19330
1352,مَنْشُور,منشور,adj,ن ش ر,the+published;spread out+[fem.sg.],1005544,4,المنشورة:773665 | المنشور:120116 | منشور:73356 | منشورة:38407
1353,لاجِئ,لاجئ,noun,,the+refugee;seeking refuge+[masc.pl.],1004723,8,اللاجئين:630670 | للاجئين:127443 | لاجئ:93920 | واللاجئين:46471 | لاجئين:32113 | اللاجئون:29891
1354,آلَة,آلة,noun,,instrument;apparatus;appliance;machine+[fem.sg.],1003349,13,آلة:340436 | آلات:153130 | الإله:122444 | الآلات:113815 | الآلة:66636 | الات:40618
1355,مِعْيار,معيار,noun,,gauges;standard measures+[def.gen.],1000481,10,معايير:298079 | المعايير:286407 | معيار:122892 | والمعايير:62226 | المعيار:58978 | بمعايير:41820
1356,فَتَح,فتح,verb,ف ت ح,he;it+open;conquer,1000198,12,يفتح:254035 | تفتح:226676 | فتحت:190609 | افتح:64201 | وفتحت:51520 | نفتح:43279
1357,إِلْغاء,إلغاء,noun,,cancellation;abrogation;repeal+[def.gen.],999424,9,إلغاء:482851 | الغاء:166560 | بإلغاء:132239 | وإلغاء:71575 | لإلغاء:42249 | والغاء:30894
1358,مَنَح,منح,verb,م ن ح,he;it+grant;award;bestow,997322,18,يمنح:246255 | تمنح:173215 | منحت:95958 | ومنح:71385 | منحه:61163 | يمنحك:49425
1359,أَصْلِيّ,أصلي,adj,,the+original;authentic+[def.nom.],997194,8,الأصلي:357746 | الأصلية:240703 | الاصلي:140085 | الاصلى:64362 | الاصلية:60884 | أصلية:56739
1360,صالِح,صالح,adj,ص ل ح,the+pious;upright+[def.nom.],995311,11,الصالح:354786 | صالحة:154758 | الصالحة:122753 | الصالحين:112076 | صالحا:84531 | والصالحين:43978
1361,نِسائِيّ,نسائي,adj,,the+women's;feminist;feminine+[fem.sg.],994620,7,النسائية:327898 | نسائية:267966 | النسائي:180121 | نسائي:147635 | والنسائي:30945 | النسائيه:21407
1362,طَبَق,طبق,noun,ط ب ق,dish;course;meal+[acc.indef.],994515,8,طبقا:298776 | الأطباق:196178 | أطباق:159619 | اطباق:154497 | الاطباق:99670 | الطبق:49148
1363,تَقَدُّم,تقدم,noun,ق د م,the+progress;coming forward+[def.gen.],990912,7,التقدم:577643 | تقدما:143884 | والتقدم:109197 | للتقدم:71592 | بالتقدم:37947 | بتقدم:28463
1364,قاد,قاد,verb,,he;it+drive;pilot,989539,15,يقود:201394 | قاد:158768 | تقود:121066 | يقودها:102359 | تقوده:62712 | تقودها:52918
1365,طَيِّب,طيب,adj,,good;pleasant+[fem.sg.],987961,5,طيبة:466064 | طيب:396247 | طيبا:54956 | الطيبين:46100 | طيبه:24594
1366,لاحَظ,لاحظ,verb,ل ح ظ,notice;observe+we <verb>,984705,11,لاحظنا:389019 | لاحظ:111071 | لاحظت:90720 | يلاحظ:86396 | نلاحظ:78569 | ولاحظ:56030
1367,حَجْز,حجز,noun,ح ج ز,the+detention;reservation;confiscation+[def.gen.],984403,5,الحجز:530848 | حجز:350132 | للحجز:45150 | بالحجز:37906 | بحجز:20367
1368,أَقْرَب,أقرب,noun,ق ر ب,soonest;nearer;nearest;more;most likely+[def.gen.],984211,8,أقرب:503211 | الأقرب:208067 | اقرب:122098 | الأقارب:43273 | أقارب:38577 | وأقرب:31956
1369,عَشَرات,عشرات,noun,ع ش ر,scores;tens;dozens+[fem.pl.],982731,5,عشرات:662565 | العشرات:215168 | وعشرات:44776 | بعشرات:35030 | لعشرات:25192
1370,دِرْهَم,درهم,noun,,dirham+[def.nom.],981948,4,درهم:872349 | درهما:49494 | الدراهم:30403 | الدرهم:29702
1371,لِيرَة,ليرة,noun,,pound;lira+[fem.sg.],978171,4,ليرة:654392 | الليرة:288263 | بالليرة:19616 | ليرات:15900
1372,فَأْر,فأر,noun,,like;such as+mouse,977062,9,كفار:695672 | الفئران:109071 | فاران:28912 | كفارة:28179 | فئران:27188 | الفارين:26562
1373,مِيناء,ميناء,noun,,port;harbor+[def.gen.],976366,12,ميناء:355253 | الميناء:133065 | ميني:125363 | الموانئ:82162 | مينا:59753 | كمين:59423
1374,مَهارَة,مهارة,noun,م ه ر,skills;crafts+[fem.pl.],975444,11,مهارات:351002 | المهارات:257856 | مهارة:75341 | والمهارات:70495 | ومهارات:65081 | المهارة:36638
1375,نَزَل,نزل,verb,ن ز ل,descend;stay+he;it <verb>,975073,15,نزل:242070 | أنزل:150040 | نزلت:138866 | ينزل:127778 | تنزل:71361 | ونزل:50512
1376,فَشَل,فشل,noun,ف ش ل,failure+[def.gen.],973735,9,فشل:554300 | الفشل:192446 | بالفشل:73164 | فشله:32874 | فشلها:31647 | والفشل:29388
1377,فَ,ف,abbrev,,F;17th;(fils),973041,1,ف:973041
1378,سِتار,ستار,noun,س ت ر,veil;curtain+[def.gen.],972315,1,ستار:972315
1379,صُعُوبَة,صعوبة,noun,ص ع ب,difficulty+[fem.sg.],971432,10,صعوبة:358701 | صعوبات:175497 | الصعوبات:163265 | الصعوبة:79620 | بصعوبة:63920 | وصعوبة:38223
1380,إِزالَة,إزالة,noun,,removal;elimination+[fem.sg.],971319,10,إزالة:334438 | ازالة:250386 | لإزالة:103837 | وإزالة:86438 | بإزالة:69165 | إزالتها:34209
1381,شُغْل,شغل,noun,ش غ ل,the+work;labor;business+[def.gen.],969367,13,الأشغال:219336 | الاشغال:154045 | الشغل:153910 | أشغال:119649 | للشغل:59034 | لشغل:52993
1382,مُضِيف,مضيف,noun,,host;steward+[acc.indef.],969208,6,مضيفا:584642 | مضيفه:132489 | مضيفة:120180 | المضيف:53654 | المضيفة:40904 | مضيف:37339
1383,عَدالَة,عدالة,noun,ع د ل,the+justice;fairness+[fem.sg.],967604,5,العدالة:588165 | والعدالة:224977 | عدالة:79643 | للعدالة:57951 | بالعدالة:16868
1384,مَخاطِر,مخاطر,noun,خ ط ر,the+dangers;perils;adventures+[def.gen.],967346,9,المخاطر:399035 | مخاطر:349252 | المخاطرة:64358 | ومخاطر:34917 | بالمخاطر:29420 | والمخاطر:27928
1385,غَرِيبَة,غريبة,noun,غ ر ب,oddities,965472,4,غرائب:392723 | الغرائب:225049 | والغرائب:180651 | وغرائب:167049
1386,تَجاوَز,تجاوز,verb,,he;it+exceed;disregard,964296,7,يتجاوز:342034 | تتجاوز:338414 | تجاوزت:154070 | وتجاوز:56832 | تجاوزه:33668 | وتتجاوز:22820
1387,نات,نات,verb,,sway;stagger+I <verb>,963493,1,نت:963493
1388,أَحْسَن,أحسن,noun,ح س ن,better;best+[def.acc.],961797,8,أحسن:400726 | احسن:313771 | الحسنى:80355 | الحسني:64482 | وأحسن:31779 | حسناء:26420
1389,مُصاب,مصاب,adj,,the+afflicted;injured;wounded+[masc.pl.],961304,12,المصابين:268229 | المصاب:206122 | مصاب:101675 | مصابا:78791 | المصابة:67907 | مصابة:47638
1390,جادّ,جاد,adj,ج د د,the+earnest;serious+[def.gen.],960416,6,الجاد:399962 | جادة:201812 | جاد:154580 | الجادة:149464 | الجاده:32531 | جادا:22067
1391,وَحْد,وحد,adv,,alone;only+its;his,960316,6,وحده:490675 | وحدها:261577 | وحدهم:90425 | وحدك:55104 | لوحدها:34388 | وحدي:28147
1392,مَدْرَسِيّ,مدرسي,adj,د ر س,the+scholastic;school+[fem.sg.],957967,4,المدرسية:573145 | المدرسي:267720 | مدرسية:97968 | المدرسى:19134
1393,نَفَّذ,نفذ,verb,ن ف ذ,implement;carry out;accomplish+it;they;she <verb>,956942,17,نفذت:168470 | تنفذ:145605 | نفذ:118156 | ينفذ:111470 | نفذها:67696 | نفذتها:64774
1394,سُكَّر,سكر,noun,س ك ر,the+sugar+[def.gen.],956683,7,السكر:520114 | سكر:186459 | والسكر:109965 | سكري:70350 | بسكرة:27474 | بالسكر:24998
1395,سِفارَة,سفارة,noun,س ف ر,the+embassy+[fem.sg.],954916,8,السفارة:527534 | سفارة:151688 | السفارات:149481 | سفارتها:29831 | للسفارة:27769 | سفارات:26512
1396,مُؤَخَّر,مؤخر,noun,,delayed;deferred+[acc.indef.],953151,3,مؤخرا:899167 | مؤخرة:31152 | المؤخرة:22832
1397,ذَهَب,ذهب,noun,ذ ه ب,the+gold+[def.gen.],952999,5,الذهب:813410 | بالذهب:44764 | والذهب:38406 | ذهبا:28871 | للذهب:27548
1398,أَعاد,أعاد,verb,,he;it+(do) again;re-(do);return;give back,950496,18,يعيد:221733 | تعيد:154984 | أعاد:92207 | أعادت:65373 | يعاد:64438 | أعيد:56486
1399,تَوَجَّه,توجه,verb,,go towards;turn towards;face+he;it <verb>,949669,12,توجه:441319 | يتوجه:107153 | وتوجه:101918 | توجهت:77252 | يتوجهن:42501 | تتوجه:41086
1400,عِيادَة,عيادة,noun,,clinic;outpatient clinic+[fem.sg.],948717,7,عيادة:608387 | العيادة:126410 | عيادات:75299 | العيادات:66649 | عياده:27526 | العياده:26902
1401,ضَيْف,ضيف,noun,,guest;visitor+[def.acc.],945528,10,ضيف:203977 | ضيفه:180048 | الضيوف:171451 | ضيوف:114247 | الضيف:86046 | ضيفا:80589
1402,أُنْشُودَة,أنشودة,noun,ن ش د,the+anthems;hymns;songs,945220,8,الأناشيد:236183 | اناشيد:210252 | الاناشيد:194526 | أناشيد:161695 | والاناشيد:52778 | والأناشيد:34185
